framework,cell_distance
JAVAML,2.8284271247461903
JAVAML,1.4142135623730951
JAVAML,3.605551275463989
JAVAML,1
JAVAML,1
JAVAML,2
JAVAML,2.23606797749979
JAVAML,1
JAVAML,1
JAVAML,2.23606797749979
JAVAML,2
JAVAML,5
JAVAML,10.04987562112089
JAVAML,8
JAVAML,10
JAVAML,4.123105625617661
JAVAML,8.246211251235321
JAVAML,6
JAVAML,1
JAVAML,3.1622776601683795
JAVAML,2
JAVAML,2
JAVAML,4.123105625617661
JAVAML,3.1622776601683795
JAVAML,6
JAVAML,2
JAVAML,3.1622776601683795
JAVAML,4.123105625617661
JAVAML,6
JAVAML,2
JAVAML,4
JAVAML,10.198039027185569
JAVAML,1.4142135623730951
JAVAML,7.0710678118654755
JAVAML,2.23606797749979
JAVAML,2
JAVAML,1
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,2
JAVAML,0
JAVAML,3.605551275463989
JAVAML,1
JAVAML,1.4142135623730951
JAVAML,6.082762530298219
JAVAML,1
JAVAML,4.47213595499958
JAVAML,1
JAVAML,2.23606797749979
JAVAML,6.082762530298219
JAVAML,5
JSAT,3.605551275463989
JSAT,1.4142135623730951
JSAT,3.605551275463989
JSAT,16.0312195418814
JSAT,1.4142135623730951
JSAT,2
JSAT,2.23606797749979
JSAT,12.041594578792296
JSAT,1
JSAT,1
JSAT,1.4142135623730951
JSAT,5
JSAT,4.47213595499958
JSAT,3.1622776601683795
JSAT,11.180339887498949
JSAT,6.082762530298219
JSAT,8.246211251235321
JSAT,2.8284271247461903
JSAT,8.06225774829855
JSAT,3.1622776601683795
JSAT,2.23606797749979
JSAT,4.47213595499958
JSAT,1.4142135623730951
JSAT,2.23606797749979
JSAT,2.8284271247461903
JSAT,2
JSAT,0
JSAT,5.385164807134504
JSAT,2.23606797749979
JSAT,2
JSAT,4
JSAT,9.055385138137417
JSAT,8.06225774829855
JSAT,7
JSAT,2.23606797749979
JSAT,2
JSAT,1
JSAT,1
JSAT,1.4142135623730951
JSAT,2
JSAT,8.246211251235321
JSAT,3.605551275463989
JSAT,3
JSAT,1.4142135623730951
JSAT,1
JSAT,2.23606797749979
JSAT,3
JSAT,1
JSAT,1
JSAT,5.0990195135927845
JSAT,12.165525060596439
WEKA,3
WEKA,2.23606797749979
WEKA,3.605551275463989
WEKA,15
WEKA,2.23606797749979
WEKA,1.4142135623730951
WEKA,3.1622776601683795
WEKA,16.0312195418814
WEKA,2
WEKA,2.23606797749979
WEKA,2
WEKA,5
WEKA,8
WEKA,1
WEKA,11.180339887498949
WEKA,9.055385138137417
WEKA,8.246211251235321
WEKA,2
WEKA,1.4142135623730951
WEKA,3.1622776601683795
WEKA,2
WEKA,6
WEKA,1.4142135623730951
WEKA,3.1622776601683795
WEKA,2.8284271247461903
WEKA,2
WEKA,1
WEKA,1.4142135623730951
WEKA,2
WEKA,2
WEKA,4
WEKA,10.198039027185569
WEKA,2.23606797749979
WEKA,7.0710678118654755
WEKA,2.23606797749979
WEKA,6
WEKA,4.123105625617661
WEKA,1
WEKA,1.4142135623730951
WEKA,2.8284271247461903
WEKA,8.246211251235321
WEKA,3.1622776601683795
WEKA,3.605551275463989
WEKA,2.23606797749979
WEKA,2
WEKA,3.1622776601683795
WEKA,2.23606797749979
WEKA,1
WEKA,1
WEKA,3.1622776601683795
WEKA,2.23606797749979
